Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Event Type,Demand Loss (MW),Number of Customers Affected 1
7/7/2004,1:30 p.m.,7/7/2004, 11:54 p.m.,Central Virginia,SERC,Severe Thunderstorms,120,"88,110"
7/13/2004,1:34 p.m.,7/13/2004, 5:15 p.m.,"Leon  County, Florida",FRCC,Units Tripped,283,"42,124"
7/13/2004,4:30 p.m.,7/17/2004, 8:00 a. m. ,"West, West Central and Southern Indiana",ECAR,Severe Thunderstorms,600,"135,000"
7/20/2004,2:26 p.m. ,7/21/2004, 2:00 a.m.,"Soledad Canyon near Acton, California",WECC,Wildfire/Shed Interruptible Load,214,-
7/20/2004,3:44 p.m.,7/20/2004, 5:51 p.m.,"Regions of  San Juan, Caguas, Ponce, Bayamon, Carolina, Arecibo and Mayaguez",PR,Wildfire,200,"61,624"
7/21/2004,5:30 p.m.,7/22/2004, 7:00 p.m.,"Chicago, Illinois",MAIN,Severe Thunderstorms,Approx. 200,"200,000"
7/24/2004,3:45 p.m.,7/25/2004, 9:00 p.m.,Southwest Louisiana in the Acadia Parish vicinity,SPP,Public Appeal  ,-,-
7/25/2004,10:00 p.m.  ,7/25/2004, 11:00 p.m.,"Georgia, Alabama, Florida panhandle, Southern Mississippi",SERC,Severe Storms,61,"61,004"
8/2/2004,10:00 a.m.,8/2/2004, 8:00 p.m.,Southeast Texas,SPP,Unplanned Generator Outage/High Loads Made Public Appeal,-,-
8/3/2004,9:00 p.m.,8/4/2004, 7:00 a.m.,Northern Illinois,MAIN,Severe Storm,127,"127,000"
8/4/2004,12:46 p.m.,8/4/2004, 1:50 p.m.,"Northwest Orange County, California",WECC,Fault at Barre Substation,480,"182,000"
8/9/2004,8:23 a.m.,8/9/2004, 11:10 a.m.,Whole Island of Puerto Rico,PR,Two Large Units Tripped,451.7,"259,478"
8/13/2004,8:00 a.m.,8/23/2004, 12:00 a.m,"Florida counties of Hardee, Highlands, Lake, Orange, Osceola, Polk, Seminole, Volusia",FRCC,Hurricane Charley,"1,300","502,000"
8/13/2004,3:00 p.m.,8/13/2004, 11:00 p.m.,West Coast of Florida from Naples to Charlotte and in an area centered around Daytona Beach,FRCC,Hurricane Charley,"1,400","1,200,000"
8/13/2004,1:30 p.m.,8/13/2004, 12 a.m.,"Florida counties of Collier, Hendry, Glades, Highlands, Charlotte, Desoto, Lee, Hardee, and Polk",FRCC ,Hurricane Charley,700,"200,000"
8/13/2004,4:43 p.m.,8/13/2004, 8:24 p.m.,"Eastern Hillsborough, Polk County, Florida",FRCC,Hurricane Charley,250,"78,000"
8/13/2004,10:04 p.m.,8/14/2004, 4:23 p.m.,"New Smyrna Beach, Florida",FRCC,Hurricane Charley,65,"23,000"
8/14/2004,1:00 p.m. ,8/14/2004, 11:00 p.m.,Central and Eastern North Carolina and Northern and Eastern South Carolina,SERC,Hurricane Charley,500,"94,000"
8/20/2004,3:31 p.m.,8/20/2004, 9:45 p.m.,"Boston, Massachusetts",NPCC,Major Transmission Line Tripped due to Lightning Strike,"22,700","380,000"
8/29/2004,9: 52 a.m.,8/29/2004, 6:00 p.m.,Southeastern South Carolina,SERC,Tropical Storm Gaston,450,"125,000"
8/30/2004,6:58 p.m.,8/31/2004, 3:35 p.m.,"Central Virginia, South to North Carolina and East to the Virginia Coast",SERC,Tropical Storm Gaston,150,"99,816"
9/3/2004,9:00 p.m.,9/5/2004, 2:00 p.m.,"City of Fort Pierce, Florida",FRCC,Hurricane Frances,125,"26,000"
9/4/2004,8:00 a.m.,9/6/2004, 8:00 a.m.,"West Palm Beach to Daytona Beach, Florida",FRCC,Hurricane Frances,"6,000","2,775,093"
