Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Event Type,Demand Loss (MW),Number of Customers Affected
9/22/2010,5:38 p.m.,9/24/2010,11:30 p.m.,Western Pennsylvania,RFC ,Thunderstorms,389,"82,861"
9/27/2010,3:15 p.m.,9/27/2010,6:12 p.m.,Central and Southern California,WECC ,Interruptible Load Shed,595,N/A
10/5/2010,5:45 a.m.,10/7/2010,6:00a.m.,"City of Los Angeles, California",WECC ,Rain and High Winds,N/A,"73,514"
10/26/2010,9:00 a.m.,10/28/2010,11:00 a.m.,Northern Illinois,RFC ,Thunderstorms,N/A,"192,106"
10/26/2010,8:00 p.m.,10/28/2010,10:00 p.m.,Minnesota,MRO ,High Winds,N/A,"70,000"
10/27/2010,4:00 a.m.,10/27/2010,12:00 p.m.,Northeast and North Central Wisconsin,MRO ,High Winds,N/A,"63,000"
10/27/2010,8:00 a.m.,10/29/2010,7:00 a.m.,Michigan's Northerly Lower Peninsula,RFC ,High Winds,240,"285,000"
10/27/2010,5:00 p.m.,10/29/2010,4:00 a.m.,Northern Illinois,RFC ,High Winds,N/A,"127,000"
10/27/2010,5:16 p.m.,10/27/2010,5:27 p.m.,Northern California,WECC ,Electrical System Separation-Islanding,16,"2,674"
10/31/2010,10:26 p.m.,11/1/2010,1:45 a.m.,"Bakersfield, California",WECC ,Firm System Load Loss,500,N/A
11/4/2010,9:46 a.m.,11/4/2010,10:47 a.m.,"Rock Springs, Wyoming",WECC ,Transmission Equipment Failure/Interruptible Load Shed,N/A,N/A
11/6/2010,3:53 p.m.,11/6/2010,6:08 p.m.,Northern California,WECC ,Electrical System Separation - Islanding,20,4
11/8/2010,6:47 a.m.,11/8/2010,6:00 p.m.,Maine,NPCC ,Snow and High Winds,N/A,"60,863"
11/13/2010,3:00 p.m.,11/14/2010,10:00 p.m.,Minnesota,MRO ,Winter Storm,N/A,"60,000"
11/15/2010,11:00 p.m.,11/16/2010,2:14 a.m.,Puget Sound Region,WECC ,High Winds,391,"149,256"
11/21/2010,1:39 a.m.,11/24/2010,4:46 p.m.,Northern and Central California,WECC ,Winter Storm,75,"60,000"
11/22/2010,11:00 p.m.,11/24/2010,8:00 p.m.,"Puget Sound Region, Washington",WECC ,Winter Storm,420,"123,535"
11/23/2010,2:01 p.m.,11/23/2010,6:12 p.m.,Northern California,WECC ,Electrical System Separation - Islanding,22,"7,077"
12/3/2010,9:32 p.m.,12/4/2010,2:00 a.m.,California,WECC ,Electrical System Separation - Islanding,22,"7,077"
12/12/2010,4:30 p.m.,12/15/2010,2:00 p.m.,Southeastern Michigan,RFC ,Severe Weather,210,"60,175"
12/14/2010,7:20 a.m.,12/14/2010,7:25 a.m.,California,WECC ,Electrical System Separation - Islanding,9,"6,635"
12/14/2010,7:36 a.m.,12/15/2010,9:00 a.m.,Southern California,WECC ,Transmission Equipment/Firm System Load,464,N/A
12/18/2010,5:00 a.m.,12/19/2010,10:00 p.m.,"Redmond, Washington",WECC ,Severe Weather,184,"92,090"
12/26/2010,8:15 a.m.,12/26/2010,4:15 p.m.,Carolina,SERC ,Severe Weather,N/A,"42,000"
12/30/2010,2:00 p.m.,1/12/2010,6:00 a.m.,New York,RFC ,Fuel Supply Deficiency,300,N/A
