Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Event Type,Demand Loss (MW),Number of Customers Affected
1/6/2010,6:00 p.m.,1/8/2010,6:00 p.m.,Southwest Louisiana, SERC ,Made Public Appeals,N/A,N/A
1/11/2010,3:45 a.m.,1/11/2010,9:57 a.m.,Northern and Central Florida,FRCC/SERC ,Interruptible Load Shed/Made Public Appeals,N/A,N/A
1/18/2010,11:30 a.m.,1/28/2010,8:00 a.m.,Northern and Central California,WECC ,Severe Storm,290,"1,700,000"
1/19/2010,7:30 a.m.,1/19/2010,12:24 p.m.,San Francisco,WECC ,Severe Storm,300,"30,000"
1/19/2010,2:30 p.m.,1/20/2010,3:00 p.m.,San Diego and Orange Counties, WECC ,Severe Storm,"2,650","50,000"
1/20/2010,1:00 p.m.,1/24/2010,6:10 p.m.,"City of Los Angeles, California",WECC ,Severe Storm,N/A,"147,223"
1/28/2010,12:00 p.m.,2/2/2010,12:00 p.m.,Oklahoma, SPP ,Ice Storm,N/A,"68,705"
2/1/2010,2:32 p.m.,2/1/2010,5:00 p.m.,Oklahoma,SPP ,Ice Storm/Electrical System Separation,30,0
2/5/2010,3:00 p.m.,2/13/2010,4:00 p.m.,Southern NJ,RFC ,Winter Storm,N/A,"221,000"
2/5/2010,6:48 p.m.,2/7/2010,5:00 p.m.,North and South Carolina,SERC ,Winter Storm,500,"74,000"
2/5/2010,7:00 p.m.,2/12/2010,3:46 p.m.,"District of Columbia, Prince Georges and Montgomery Co. MD",RFC ,Winter Storm,N/A,"97,651"
2/5/2010,10:30 p.m.,2/12/2010,12:00 p.m.,Southwestern Pennsylvania,RFC ,Winter Storm,N/A,"57,000"
2/5/2010,11:30 p.m.,2/7/2010,2:38 a.m.,"Indiana, Ohio, W. Virginia and Virginia", RFC ,Winter Storm,N/A,"102,225"
2/6/2010,2:30 a.m.,2/7/2010,7:00 a.m.,"Virginia, North Carolina",SERC ,Winter Storm,600,"104,736"
2/6/2010,8:00 a.m.,2/6/2010,9:00 a.m.,Delmarva Peninsula,RFC ,Winter Storm,N/A,"58,491"
2/9/2010,6:00 p.m.,2/14/2010,4:00 p.m.,Southeastern Pennsylvania, RFC ,Winter Storm,N/A,"223,000"
2/11/2010,12:00 p.m.,2/15/2010,9:00 p.m.,Dallas/Fort Worth and East Texas,TRE ,Winter Storm,N/A,"500,000"
2/12/2010,5:00 a.m.,2/12/2010,5:00 p.m.,"East Texas, Western Arkansas, Northern Lousiania", SPP ,Winter Storm,N/A,"52,999"
2/14/2010,10:00 a.m.,2/14/2010,12:00 p.m.,Western Pennsylvania nd Northeast Central WV,RFC ,Winter Storm,900,"190,000"
2/19/2010,8:30 p.m.,2/20/2010,4:01 a.m.,"San Joaquin Field Division/Bakersfield, CA",WECC ,Firm System Load Shed,"1,000",N/A
2/23/2010,10:00 p.m.,2/25/2010,4:00 p.m.,Upstate New York,NPCC ,Winter Storm,N/A,"150,000"
2/25/2010,12:01 a.m.,2/26/2010,9:00 p.m.,"Southeastern New York, Northern New Jersey",NPCC ,Winter Storm,N/A,"65,000"
2/25/2010,5:00 p.m.,3/2/2010,7:00 p.m.,New York City, NPCC ,Winter Storm,N/A,"55,000"
2/25/2010,11:53 p.m.,3/1/2010,4:40 p.m.,Southern Maine and New Hampshire,NPCC ,Winter Storm,510,"509,606"
3/13/2010,1:00 a.m.,3/16/2010,6:40 p.m.,Southeasten Pennsylvania,RFC ,High Winds and rain,N/A,"177,528"
3/13/2010,12:00 p.m.,3/15/2010,8:05 p.m.,Connecticut,NPCC ,High Winds and Rain,50,"50,246"
3/13/2010,3:00 p.m.,3/17/2010,4:00 p.m.,Long Island,NPCC ,High Winds and Rain,N/A,"153,000"
3/13/2010,4:00 p.m.,3/16/2010,12:00 a.m.,Central New Jersey and Northern New Jersey,RFC ,High Winds and Flooding,N/A,"180,000"
3/13/2010,6:00 p.m.,3/20/2010,12:59 p.m.,"Southern, Central and Northern New Jersey",RFC ,High Winds and Rain,100,"360,000"
3/13/2010,6:00 p.m.,3/20/2010,9:00 a.m.,New York City and Westchester County,NPCC ,High Winds and Rain,N/A,"173,000"
3/31/2010,11:59 p.m.,4/1/2010,12:55 a.m.,San Diego and Orange Counties,WECC ,Shed Firm Load,324,"290,000"
3/31/2010,11:59 p.m.,4/1/2010,12:38 a.m.,San Diego,WECC ,Shed Firm Load,324,N/A
4/16/2010,5:15 p.m.,4/18/2010,5:00 p.m.,Southwestern Pennsylvania,RFC ,Severe Thunderstorms,15,"120,000"
4/21/2010,3:05 p.m.,4/21/2010,8:00 p.m.,"Iberville, Parish, Louisiana",SERC ,Generator Tripped,N/A,N/A
4/27/2010,2:55 p.m.,4/27/2010,2:55 p.m.,"Rocky Mount, NC",SERC ,Transmission System Interruption,N/A,"29,376"
5/2/2010,2:40 p.m.,5/9/2010,7:30 p.m.,Tennessee and Mississippi,SERC ,Thunderstorms,N/A,"50,500"
5/18/2010,8:15 a.m.,5/18/2010,10:46 p.m.,Central California,WECC,Breakers Tripped,318,N/A
5/26/2010,11:45 a.m.,5/26/2010,3:00 p.m.,"Maryland, Pennsylvania, West Virginia, Virginia","RFC, SERC ",Made Public Appeal - System Drill,N/A,N/A
6/1/2010,10:03 p.m.,6/18/2010,12:30 a.m.,Southwestern Indiana,RFC ,Firm Load Shed,500,1
6/2/2010,8:18 p.m.,6/4/2010,8:00 a.m.,"San Antonio, TX",TRE ,Severe Weather,N/A,"126,000"
6/6/2010,4:45 a.m.,6/6/2010,5:35 a.m.,Northern California,WECC ,Electric System Separation,3,"2,650"
6/7/2010,6:29 p.m.,6/8/2010,1:00 a.m.,Denver Metropolitan Area,WECC ,Firm Load Shed,300,"31,000"
6/8/2010,11:00 a.m.,6/8/2010,5:00 p.m.,Southeastern Texas,TRE ,Thunderstorms,N/A,"79,741"
6/9/2010,2:18 p.m.,6/9/2010,3:00 p.m.,"Edenton, NC",SERC ,Transmission System Interruption,N/A,"4,196"
6/16/2010,11:11 a.m.,6/16/2010,11:32 a.m.,New York (Rockland and Orange Counties),NPCC ,Voltage Reduction (System Test),N/A,N/A
6/17/2010,8:30 a.m.,6/17/2010,5:47 p.m.,"Morgan City, LA",SPP ,Made Public Appeal,N/A,N/A
6/17/2010,9:30 a.m.,6/17/2010,5:17 p.m.,Southern Louisiana,SERC ,Made Public Appeal,N/A,N/A
6/17/2010,9:30 a.m.,6/17/2010,4:40 p.m.,Southern Louisiana,SERC ,Made Public Appeal,N/A,N/A
6/17/2010,9:30 a.m.,6/17/2010,4:40 p.m.,Southwestern Louisiana,SPP ,Made Public Appeal,N/A,N/A
6/17/2010,10:49 a.m.,6/17/2010,11:02 a.m.,Eastern Montana,MRO ,Electrical System Separation,N/A,N/A
6/18/2010,3:30 p.m.,6/20/2010,12:30 a.m.,Northwest Indiana,RFC ,Thunderstorms,N/A,"94,345"
6/18/2010,4:00 p.m.,6/20/2010,1:00 p.m.,"Chicago, IL",RFC ,Severe Weather,N/A,"400,000"
6/18/2010,7:00 p.m.,6/19/2010,5:00 a.m.,Southern Portion of Lower Michigan,RFC ,Thunderstorms,N/A,"100,000"
6/18/2010,8:00 p.m.,6/21/2010,10:45 a.m.,"Indiana, Michigan",RFC ,Severe Weather,N/A,"79,000"
6/18/2010,8:00 p.m.,6/22/2010,7:30 p.m.,"Detroit, MI",RFC ,Severe Weather,N/A,"150,000"
6/21/2010,1:48 p.m.,6/22/2010,8:31 p.m.,"Cincinnati, OH",RFC ,Thunderstorms,400,"50,636"
6/22/2010,3:34 p.m.,6/22/2010,7:00 p.m.,West/Central Arkansas,SERC ,Made Public Appeal/Transmission Equipment Failure,84,"25,159"
6/23/2010,5:00 p.m.,6/25/2010,1:40 p.m.,"Chicago, IL",RFC ,Severe Weather,N/A,"300,000"
6/23/2010,5:48 p.m.,6/24/2010,2:21 a.m.,Northwest Indiana,RFC ,Thunderstorms,N/A,"53,000"
6/24/2010,3:00 p.m.,6/29/2010,12:00 p.m.,Southwestern New Jersey,RFC ,Thunderstorms,N/A,"150,000"
6/24/2010,3:30 p.m.,6/29/2010,11:59 p.m.,Southeastern Pennsylvania,RFC ,Thunderstorms,N/A,"355,000"
6/25/2010,11:36 p.m.,6/26/2010,1:38 a.m.,Northern California,WECC ,Electrical System Separation,N/A,N/A
7/6/2010,3:47 a.m.,7/6/2010,4:37 a.m.,"Newark, DE",RFC ,Transformer Outage,95,"18,400"
7/7/2010,4:13 p.m.,7/7/2010,10:29 p.m.,"York, South Central Pennsylvania",RFC ,Loss of Transmission Equipment,N/A,"43,903"
7/15/2010,7:00 p.m.,7/19/2010,11:30 p.m.,Southeastern Michigan,RFC ,Severe Weather,540,"127,534"
7/17/2010,8:30 p.m.,7/19/2010,10:00 p.m.,Minnesota,MRO ,"Strong Winds, Tornadoes",N/A,"63,000"
7/21/2010,6:44 p.m.,7/21/2010,8:00 p.m.,Connecticut,NPCC ,Thunderstorms,N/A,"50,100"
7/23/2010,10:00 a.m.,7/24/2010,11:55 p.m.,Northern Utah,WECC ,Made Public Appeals,8-Jun,N/A
7/23/2010,7:30 p.m.,7/26/2010,6:30 p.m.,Southeastern Michigan,RFC ,Severe Weather,400,"82,000"
7/25/2010,3:10 p.m.,7/30/2010,11:30 p.m.,"Washington, DC Region",RFC ,Severe Weather,N/A,"297,700"
7/25/2010,3:20 p.m.,7/27/2010,6:00 p.m.,Central Maryland,RFC ,Severe Weather,480,"124,000"
7/25/2010,4:11 p.m.,7/25/2010,8:06 p.m.,Northern Virginia,SERC ,Severe Weather,900-1000,"81,000"
7/29/2010,5:43 p.m.,7/29/2010,8:07 p.m.,Virginia,SERC ,Thunderstorms,N/A,"55,000"
7/29/2010,6:39 p.m.,7/29/2010,7:26 p.m.,Southern California,WECC ,"Shed Interruptible Load, Wildfire",522,N/A
7/29/2010,6:39 p.m.,7/29/2010,7:26 p.m.,Southern California,WECC ,"Shed Interruptible Load, Wildfire",522,N/A
8/2/2010,12:00 p.m.,8/2/2010,11:00 p.m.,Central California,WECC ,Fuel Supply Deficiency (Hydro),N/A,N/A
8/2/2010,12:45 p.m.,8/4/2010,11:00 a.m.,Southern Louisiana,SERC ,Made Public Appeals,N/A,N/A
8/2/2010,12:45 p.m.,8/4/2010,11:00 a.m.,Southern Louisiana,SERC ,Made Public Appeals,N/A,N/A
8/2/2010,12:45 p.m.,8/4/2010,11:00 a.m.,Southwestern Louisiana,SERC ,Made Public Appeals,N/A,N/A
8/2/2010,12:45 p.m.,8/4/2010,11:00 a.m.,Southern Louisiana,SPP ,Made Public Appeals,N/A,N/A
8/4/2010,12:00 p.m.,8/4/2010,10:00 p.m.,"Northern Texas, Eastern New Mexico",SPP ,Made Public Appeals,N/A,N/A
8/4/2010,4:45 p.m.,8/7/2010,12:00 a.m.,"Western Pennsylvania, Northwestern and Central West Virginia",RFC ,Thunderstorms,60,"11,186"
8/4/2010,5:00 p.m.,8/6/2010,4:00 a.m.,"Ohio, West Virginia, Kentucky",RFC ,Severe Weather,N/A,"37,000"
8/5/2010,3:30 p.m.,8/5/2010,10:00 p.m.,"District of Columbia, Maryland",RFC ,Thunderstorms,N/A,"76,729"
8/5/2010,3:54 p.m.,8/8/2010,12:00 a.m.,Northern Virginia,RFC ,Thunderstorms,N/A,"145,157"
8/9/2010,12:00 p.m.,8/16/2010,12:00 p.m.,Upstate New York,RFC ,Fuel Supply Defiency,N/A,N/A
8/11/2010,3:21 p.m.,8/11/2010,12:12 p.m.,Ohio,RFC ,Severe Weather,N/A,"57,000"
8/12/2010,6:45 a.m.,8/12/2010,9:00 p.m.,"District of Columbia, Maryland",RFC ,Severe Weather,N/A,"101,003"
8/12/2010,8:21 a.m.,8/12/2010,11:00 a.m.,Central Nebraska,SPP ,Made Public Appeals,65,N/A
8/12/2010,3:42 p.m.,8/12/2010,10:10 p.m.,"City of Oshkosh, Wisconsin",MRO ,Made Public Appeals,30,"7,600"
8/19/2010,6:00 p.m.,8/23/2010,3:30 p.m.,Southeastern Michigan,RFC ,Severe Weather,340,"80,000"
8/23/2010,5:50 p.m.,8/24/2010,9:30 a.m.,"Houston, Texas",TRE ,Severe Weather,746,"81,586"
9/1/2010,10:20 a.m.,9/1/2010,12:44 p.m.,"Pittsburg (Bay Area), California",WECC ,Electrical System Separation (Islanding),31,"15,000"
9/7/2010,2:02 p.m.,9/8/2010,1:27 a.m.,"San Antonio, Texas",TRE ,Tropical Storm,N/A,"340,350"
9/20/2010,5:00 p.m.,9/20/2010,5:30 p.m.,"King George County, Virginia",SERC ,Low Flying Helicopter,N/A,N/A
9/21/2010,9:31 p.m.,9/22/2010,2:30 p.m.,Central and Southern Michigan,RFC ,Thunderstorms,N/A,"138,000"
9/22/2010,6:12 a.m.,9/22/2010,11:00 p.m.,"Bakersfield, California",WECC ,Firm Load Shed,526,N/A
9/22/2010,4:08 p.m.,9/26/2010,12:00 a.m.,"City of Pittsburgh, Pennsylvania",RFC ,Thunderstorms,156,"52,000"
