Date Event Began,Time Evet Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Event Type ,Demand Loss (MW),Number of Customers Affected 
9/22/2005,12:00 p.m.,9/29/2005, 12:00 p.m.,"Counties of Alachua, Bay, Citrus, Columbia, Dixie, Franklin, Gilchrist, Gulf, Hamilton, Hardee, Hernando, Highlands, Jefferson, Lafayette, Lake, Levy, Madison, Marion, Orange, Osceola, Pasco, Pinellas, Polk, Seminole, Sumter, Suwannee, Taylor, Volusia and Wakulla",FRCC,Hurricane Rita disrupted fuel supply in the Gulf of Mexico. Public Appeals for conservation were issued.,0,0
9/23/2005,7:00 a.m.,9/28/2005, 11:29 a.m.," Lakeland, Florida",FRCC,Hurricane Rita  disrupted normal gas allotment through natural gas pipelines (FGT & Gulf stream). Public Appeals for conservation were issued.,0,0
9/23/2005,1:06 p.m.,10/6/2005, 2:30 p.m.,West and Southwest Louisiana,SPP,Hurricane Rita,350,125000
9/23/2005,5:00 p.m.,9/24/2005, 8:00 p.m.,"Houston, Texas and the surrounding suburban areas",ERCOT,Hurricane Rita,1950,715000
9/23/2005,9:00 p.m.,9/25/2005, 7:30 a.m.,"Texas, Louisiana, Arkansas, and Mississippi",SPP,Hurricane Rita,0,766000
9/24/2005,6:00 a.m., 10/02/05, 5:00 p.m.,"Nacogdoches, Lufkin, Tyler, Jacksonville, Rusk, Paris, Commerce, Huntington",ERCOT,Hurricane Rita,260,200000
9/24/2005,10:00 a.m.,9/28/2005, 6:00 p.m.,"Shreveport, Louisiana",ECAR,Hurricane Rita,700,190000
10/2/2005,5:40 p.m.,10/2/2005, 5:54 p.m.,Island of Puerto Rico,PR,Voltage Reduction/Load Shed,312,71240
10/18/2005,3:19 p.m.,10/18/2005, 3: 37 p.m.,Island of Puerto Rico,PR,Voltage Reduction/Load Shed,460,142591
10/22/2005,9:44 a.m.,10/22/2005, 11:40 a.m.,Island of Puerto Rico,PR,Voltage Reduction/Load Shed,360,85682
10/23/2005,8:00 p.m..,10/24/2005, 2:00 p.m.,"South Florida, Naples, Ft. Myers, Miami, Ft. Lauderdale, West Palm Beach and Martin county",FRCC,Hurricane Wilma,10000,3241437
10/24/2005,4:00 a.m.,10/24/2005, 4:00 p.m.,"Florida counties of Collier, Charlotte and Lee",FRCC,Hurricane Wilma,280,105000
10/24/2005,7:00 a.m.,11/10/2005, 12:00 a.m.,"South Florida - Cities of Key West, Clewiston, Lake Worth, and Ft. Pierce",FRCC,Hurricane Wilma ,148,84900
10/24/2005,8:00 p.m.,11/2/2005, 4:30 p.m.,"Maryland, North Central West Virginia, Southwestern Pennsylvania, and Northern Pennsylvania",MAAC,Hurricane Wilma,400,303795
11/3/2005,6:47 p.m.,11/3/2005, 7:00 p.m.,"San Francisco Bay area, California",WECC,Plant Tripped,136,0
11/6/2005,7:30 a.m.,11/11/2005, 11:30  p.m.,Southeast Michigan,ECAR,Severe Thunderstorm,212,118000
11/12/2005,4:00 p.m.,11/14/2005, 6:00 p.m.,Southeast Wisconsin ,WeEnergiesMAIN,Severe Thunderstorms,10,48000
11/12/2005,11:00 p.m.,11/14/2005, 11:59 p.m.,Western and Central portions of Michigan's Lower Peninsula,ECAR,Severe Thunderstorm,408,272355
12/15/2005,4:00 a.m.,12/21/2005, 5:00 p.m.,Piedmont North Carolina and South Carolina,SERC,Ice Storm,3500,683000
12/15/2005,5:05 a.m.,12/16/2005, 12:10  p.m.,Northeast Georgia,SERC,Ice Storm,75,52659
12/31/2005,6:00 a.m.,1/5/2006, 9:00 a.m.,Northern and Central California,WECC,Severe Storms,800,1667316
,,,,,,,,
,,,,,,,,
,,,,,,,,
