Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Alert Criteria,Event Type,Demand Loss (MW),Number of Customers Affected 1
3/17/2004,1:27 PM,3/17/2004, 2:06 PM,"El Paso, Texas",WECC,,Faulty Switch,300,100000
4/10/2004,8:00 PM,4/11/2004, 4:00 PM   ,"Houston, Texas and surrounding suburban areas",ERCOT,,Thunderstorms,100,85000
4/12/2004,5:30 AM,4/12/2004, 10:15 AM,FPL's service territory mostly in Naples and Ft. Myers Florida,FRCC,,Storm with High Winds,250,179000
4/27/2004,12:35 PM,4/30/2004, 12:00 PM,Snohomish County Washington,WECC,,Strong Winds,300,187000
5/3/2004,2:30 PM,5/3/2004, 7:00 PM,Central and Southern California,WECC,,Heat Storm,662,940
5/11/2004,3:30 PM,5/11/2004, 6:00 PM,"Houston, Texas and surrounding suburban areas",ERCOT,,Strong Thunderstorms,85,62500
5/21/2004,2:00 AM,5/24/2004, 12:00 AM,Akron and Youngstown areas,ECAR,,Severe Thunderstorms,392,281000
5/21/2004,2:00 AM,5/24/2004, 12:00 AM,Cleveland area,ECAR,,Severe Thunderstorms,177,127000
5/21/2004,5:30 AM,5/25/2004, 12:00 AM,"Western Pennsylvania, Northern West Virginia, Western Maryland, Northern Virginia",MAAC,,High Winds and Heavy Rains,162,225353
5/21/2004,11:00 AM,5/26/2004, 9:00 PM,"Northern and Southern Michigan, AEP Fort Wayne/Michigan Region, Buchanan, Elkhart, New Buffalo, South Bend, St. Joseph, Three Rivers areas",ECAR,,Severe Thunderstorms,303,122600
5/21/2004,1:00 PM,5/25/2004, 12:00 PM,"Lower peninsula of Michigan following cities:  Grand Rapids, Kalamazoo, Battle Creek, Jackson, Bronson, Jonesville, Flint",ECAR,,Severe Thunderstorms,200,248209
5/21/2004,4:00 PM,5/24/2004, 8:00 PM,Southeast Michigan,ECAR,,Severe Thunderstorms,630,250000
5/28/2004,12:00 PM,5/31/2004, 12:00 AM,"Florida counties of Gadsden, Wakulla, Leon, and Liberty",FRCC ,,Public Appeals,0,0
