Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Alert Criteria,Event Type,Demand Loss (MW),Number of Customers Affected
1/11/2011,11:08 PM,1/11/2011,11:08 PM,"Athens, New York",NPCC,,Electrical Fault at Generator,0,0
1/12/2011,6:00 AM,1/12/2011,2:00 PM,Massachusetts,NPCC,,Winter Storm,0,80000
1/13/2011,7:21 AM,1/13/2011,8:13 AM,North Florida,FRCC,,Firm System Load Shed,150,20900
1/18/2011,2:00 PM,1/18/2011,2:00 PM,"Whitman, Auburn St Substation, Massachusetts",NPCC,,Vandalism,0,0
1/23/2011,7:00 AM,1/23/2011,1:00 PM,"Franklin County, Idaho",WECC,,Vandalism,0,0
1/24/2011,1:20 PM,1/24/2011,1:30 PM,"Newman Power Plant, Texas",WECC,,Suspicious Activity,0,0
1/25/2011,3:23 AM,1/25/2011,11:00 AM,"Newark, Delaware",RFC,,Vandalism,0,0
1/26/2011,9:25 AM,1/27/2011,5:00 PM,"Carson City, Nevada",WECC,,Suspected Telecommunications Attack,0,0
1/26/2011,9:33 AM,1/27/2011,3:03 PM,Michigan,RFC,,Vandalism,0,0
1/26/2011,5:00 PM,1/31/2011,8:00 AM,"Montgomery and Prince George's County, Maryland and District of Columbia",RFC,,Winter Storm,0,210000
1/26/2011,6:28 PM,1/29/2011,5:00 PM,Maryland,RFC,,Winter Storm,0,234326
1/26/2011,7:43 PM,1/27/2011,6:18 PM,Northern Virginia,SERC,,Winter Storm,600,150084
1/27/2011,9:30 AM,1/27/2011,9:30 AM,"Hockessin, Delaware",RFC,,Vandalism,0,0
1/27/2011,5:00 PM,1/30/2011,5:00 AM,Central New York,NPCC,,Fuel Supply Deficiency (Coal),108,0
1/31/2011,10:00 PM,2/3/2011,12:00 PM,Southwestern Ohio and Indiana,RFC,,Ice Storm,996,272880
2/1/2011,3:00 PM,2/3/2011,12:00 PM,"Indiana, Ohio",RFC,,Winter Storm,0,158013
2/1/2011,9:00 PM,2/2/2011,2:00 PM,Northern Illinois,RFC,,Winter Storm,0,190000
2/2/2011,3:00 AM,2/4/2011,11:59 PM,"Philadelphia area, Pennsylvania",RFC,,Winter Storm,0,213000
2/2/2011,5:43 AM,2/3/2011,10:00 AM,Texas,TRE,,Generation Inadequacy/Load Shed,4000,1069730
2/2/2011,6:22 AM,2/2/2011,9:57 AM,Central Arizona,WECC,,Generation Inadequacy/Load Shed,3963,69000
2/2/2011,7:24 AM,2/2/2011,10:23 PM,"Dona Ana and El Paso Counties, Texas and Hudspeth County, New Mexico",WECC,,Generation Inadequacy/Load Shed,280,178000
2/2/2011,5:00 PM,2/3/2011,10:00 PM,"Texas Panhandle, Southeastern New Mexico",SPP,,Fuel Supply Deficiency (Natural Gas),0,0
2/3/2011,3:00 PM,2/4/2011,12:00 PM,"San Diego area, California",WECC,,Fuel Supply Deficiency (Natural Gas),0,0
2/3/2011,2:30 PM,2/3/2011,2:30 PM,"Bowie, Maryland",RFC,,Suspected Cyber Attack,0,0
2/3/2011,10:04 PM,2/4/2011,12:32 PM,Texas,TRE,,Generation Inadequacy/Load Shed,400,86013
2/9/2011,3:45 AM,2/9/2011,9:12 AM,"Western Houston, Texas",TRE,,Winter Storm,399,60000
2/9/2011,2:54 PM,2/9/2011,5:00 PM,"University Place, Washington",WECC,,Vandalism,0,0
2/9/2011,4:30 PM,2/10/2011,12:33 PM,Texas,TRE,,Cold Weather Event,0,0
2/10/2011,1:00 PM,2/10/2011,1:00 PM,"LaGrande, Washington",WECC,,Vandalism,0,0
2/17/2011,1:25 AM,2/19/2011,10:13 AM,Northern and Central California,WECC,,Major Storm,91,80000
2/17/2011,1:00 PM,2/23/2011,4:53 PM,"Roseville, California",WECC,,Suspected Cyber Attack,0,0
2/19/2011,12:30 PM,2/20/2011,4:00 AM,"Philadelphia area, Pennsylvania",RFC,,Major Storm,0,118000
2/19/2011,4:34 PM,2/19/2011,4:34 PM,"Harrington, Delaware",RFC,,Vandalism,0,0
2/20/2011,4:00 PM,2/23/2011,4:00 PM,"Southern Lower Peninsula, Michigan",RFC,,Winter Storm,262,160000
2/24/2011,4:51 PM,2/24/2011,4:54 PM,Arkansas,SPP,,Electrical System Separation (Islanding),4,0
2/25/2011,3:20 PM,2/25/2011,6:00 PM,Virginia,SERC,,Severe Weather,0,50000
2/25/2011,3:23 PM,2/27/2011,6:00 PM,Maryland,RFC,,Severe Weather,0,93000
2/25/2011,8:00 AM,2/28/2011,5:30 PM,Northern and Central California,WECC,,Winter Storm,91,80000
2/25/2011,10:30 AM,2/25/2011,10:45 AM,"Salt Lake City, Utah",WECC,,Vandalism,0,0
3/1/2011,8:00 AM,3/5/2011,9:30 AM,Western New York,NPCC,,Fuel Supply Deficiency (Coal),675,0
3/6/2011,2:54 AM,3/8/2011,8:00 AM,"Salt Lake City Region, Utah",WECC,,Vandalism,0,0
3/8/2011,8:00 AM,3/18/2001,9:00 AM,Western New York,NPCC,,Fuel Supply Deficiency (Coal),676,0
3/10/2011,12:03 PM,3/11/2011,6:00 AM,Texas,TRE,,Suspected Physical Attack,0,0
3/11/2011,7:02 AM,3/11/2011,9:15 AM,"Humboldt and Eureka, California",WECC,,Generation Inadequacy/Load Shed,15,6800
3/13/2011,2:20 PM,3/14/2011,3:46 PM,Oregon,WECC,,Severe Weather,0,9000
3/14/2011,7:30 AM,3/14/2011,4:55 PM,"Baltimore, Maryland",RFC,,Suspected Cyber Attack,0,0
3/15/2011,6:00 PM,3/15/2011,7:14 PM,"The Woodlands, Texas",TRE,,Suspected Physical Attack,0,0
3/17/2011,7:40 AM,3/17/2011,11:00 AM,"Deerfield, New Hampshire",NPCC,,Vandalism,0,0
3/18/2011,9:54 AM,3/18/2011,3:34 PM,"Greene County, Ohio",RFC,,Vandalism,0,0
3/19/2011,11:56 PM,3/24/2011,7:10 PM,Northern and Central California,WECC,,Major Storm,91,128000
3/20/2011,9:44 AM,3/21/2011,10:00 AM,"Los Angeles, California",WECC,,Major Storm,0,79000
3/21/2011,12:35 PM,3/21/2011,2:45 PM,Southern California,WECC,,Major Storm,150,54332
3/21/2011,12:57 AM,3/21/2011,2:29 AM,"Deerfield, New Hampshire",NPCC,,Vandalism,0,0
3/23/2011,6:30 PM,3/24/2011,4:55 AM,"Indiana. Kentucky, Michigan, Ohio, Tennessee, Virginia, West Virginia",RFC,,Major Storm,0,60596
3/27/2011,1:27 PM,3/27/2011,5:00 PM,"Sonoma and Central Valley, California",WECC,,Transmission Level Outage,295,165000
3/31/2011,2:30 PM,4/1/2011,11:59 PM,Central and Western Florida,FRCC,,Severe Weather,0,50000
3/31/2011,11:30 AM,3/31/2011,8:30 PM,"Greater Tampa Bay, Florida",FRCC,,Severe Weather,206,87000
4/3/2011,8:23 PM,4/5/2011,3:00 PM,Unknown,SERC,,Suspected Cyber Attack,0,0
4/4/2011,11:47 AM,4/8/2011,12:01 AM,"Memphis, Tennessee",SERC,,Severe Weather,359,63000
4/4/2011,1:00 PM,4/5/2011,12:00 AM,"Shelby County, Tennessee",SERC,,Severe Weather,300,63000
4/4/2011,2:00 PM,4/8/2011,12:01 AM,"Davidson County, Tennessee",SERC,,Severe Weather,300,73000
4/4/2011,7:00 PM,4/5/2011,8:00 PM,"Southeast Arkansas, Southeast Louisiana, Western Mississippi, Eastern Texas",SERC,,Severe Weather,0,74645
4/4/2011,7:00 PM,4/5/2011,12:00 PM,"Kentucky, West Virginia",RFC,,Severe Weather,0,52920
4/4/2011,9:00 PM,4/5/2011,11:30 PM,"Alabama, Florida, Georgia, Mississippi",SERC,,Severe Weather,674,303434
4/5/2011,2:00 AM,4/7/2011,11:00 PM,"North Carolina, South Carolina",SERC,,Severe Weather,1200,256000
4/6/2011,10:50 AM,4/6/2011,10:50 AM,"Felton, Delaware",RFC,,Vandalism,0,0
4/11/2011,5:40 PM,4/11/2011,5:51 PM,"Salt Lake City, Utah",WECC,,Suspicious Activity,0,0
4/16/2011,2:16 PM,4/17/2011,4:30 PM,Central and Eastern North Carolina,SERC,,Severe Weather,0,220000
4/19/2011,8:00 PM,4/19/2011,10:00 PM,Illinois,SERC,,Severe Weather,0,80000
4/19/2011,2:01 PM,4/19/2011,4:04 PM,"Graham, Washington",WECC,,Vandalism,0,0
4/19/2011,10:44 PM,4/20/2011,2:00 AM,"Memphis, Tennessee",SERC,,Severe Weather,100,64000
4/19/2011,11:02 PM,4/21/2011,5:32 PM,"Memphis, Tennessee",SERC,,Severe Weather,300,105000
4/19/2011,11:13 PM,4/20/2011,7:14 PM,"Osceola, Arkansas",SERC,,Severe Weather,22,0
4/20/2011,2:00 AM,4/21/2011,12:00 PM,"Indiana, Kentucky, Ohio",RFC,,Severe Weather - High Winds,0,165711
4/20/2011,8:07 AM,4/20/2011,8:14 AM,"Ruston, Louisiana",SERC,,Equipment Malfunction,33,11000
4/21/2011,7:15 AM,4/21/2011,4:50 PM,"Oquirrh Substation, Salt Lake City, Utah",WECC,,Vandalism,0,0
4/21/2011,7:00 PM,4/29/2011,7:05 PM,"Trenton, Michigan",RFC,,Suspicious Activity,0,0
4/22/2011,9:00 PM,4/22/2011,11:00 PM,"Metro St. Louis area, Missouri",SERC,,Severe Weather,0,55000
4/25/2011,4:33 PM,4/25/2011,5:19 PM,Northeast Tennessee,SERC,,Equipment Malfunction,140,0
4/25/2011,5:30 PM,4/27/2011,6:00 PM,"Arkansas, Louisiana, Mississippi",SPP,,Severe Weather,0,141700
4/26/2011,5:49 AM,4/27/2011,9:59 AM,Southern Louisiana,SPP,,Severe Weather,120,0
4/26/2011,9:51 AM,4/28/2011,9:51 AM,"Alabama, Georgia, Mississippi, Tennessee",SERC,,Severe Weather,0,55000
4/26/2011,1:04 PM,4/26/2011,2:00 PM,"Salt Lake City, Utah",WECC,,Vandalism,0,0
4/26/2011,6:14 PM,4/28/2011,5:00 PM,Eastern Arkansas,SPP,,Severe Weather,50,13000
4/27/2011,8:00 AM,5/2/2011,4:03 PM,"Alabama, Florida, Georgia, Mississippi",SERC,,Severe Weather,1422,426640
4/27/2011,10:00 AM,4/29/2011,4:29 PM,"Alabama, Georgia, Mississippi, Tennessee",SERC,,Severe Weather,0,612000
4/27/2011,10:00 PM,4/28/2011,10:00 AM,"Ohio, Tennessee, Virginia",SERC,,Severe Weather,0,69000
4/28/2011,5:00 AM,4/30/2011,6:30 PM,"Cleveland area, Ohio",RFC,,Severe Weather,0,86000
4/28/2011,4:09 PM,4/28/2011,4:10 PM,"Phoenix, Arizona",WECC,,Equipment Malfunction,960,0
5/2/2011,5:06 PM,5/2/2011,8:00 PM,Hawaii,N/A,,Severe Weather,220,62000
5/2/2011,2:00 PM,5/2/2011,2:00 PM,"West River Substation, New Haven, Connecticut",NPCC,,Suspected Physical Attack,0,0
5/2/2011,8:52 AM,5/2/2011,10:46 AM,"N. Ogden Substation, Ogden, Utah",WECC,,Vandalism,0,0
5/3/2011,12:00 PM,5/5/2011,12:00 PM,"St. Lawrence Power Dam, New York",NPCC,,Suspected Physical Attack,0,0
5/4/2011,1:08 PM,5/4/2011,1:25 PM,Maryland,RFC,,Suspected Physical Attack,0,0
5/4/2011,12:20 PM,5/4/2011,3:40 PM,Michigan,RFC,,Suspected Sabotage,0,0
5/5/2011,9:15 AM,5/5/2011,9:15 AM,New Hampshire,NPCC,,Vandalism,0,0
5/6/2011,6:56 AM,5/6/2011,10:30 AM,"Alderwood Substation, Portland, Oregon",WECC,,Vandalism,0,0
5/8/2011,7:35 PM,5/8/2011,7:35 PM,New York,NPCC,,Vandalism,0,0
5/9/2011,1:11 PM,5/9/2011,1:11 PM,"Milton, New Hampshire",NPCC,,Vandalism,0,0
5/9/2011,4:08 AM,5/9/2011,6:40 AM,"Holtwood, Pennsylvania",RFC,,Suspected Physical Attack,630,0
5/10/2011,10:21 PM,5/11/2011,2:25 PM,"Kentucky, West Virginia",RFC,,Severe Weather,0,58000
5/10/2011,1:45 PM,5/10/2011,3:00 PM,New Hampshire,NPCC,,Vandalism,0,0
5/10/2011,3:25 AM,5/11/2011,2:10 PM,"Upper Peninsula, Michigan",RFC,,Generation Inadequacy; Load Shed; Electrical System Separation (Islanding),585,78213
5/11/2011,3:55 PM,5/12/2011,1:57 PM,"Colbyville, Haines Road and Arrowhead Substations, Minnesota",MRO,,Vandalism,0,0
5/11/2011,1:35 PM,5/11/2011,1:35 PM,"Green River, Wyoming",WECC,,Vandalism,0,0
5/11/2011,11:00 AM,5/11/2011,11:30 AM,"North Chelsea Substation, New York",NPCC,,Vandalism,0,0
5/11/2011,12:15 AM,5/11/2011,5:20 PM,"Charlotte, North Carolina",SERC,,Severe Weather,300,71000
5/13/2011,6:00 AM,5/13/2011,6:00 AM,"Salt Lake, Utah",WECC,,Vandalism,0,0
5/21/2011,5:00 PM,5/22/2011,6:34 PM,"Dixie Valley Area, Nevada",WECC,,Physical Attack,56,0
5/22/2011,5:09 PM,5/31/2011,12:01 PM,"Joplin, Sarcoxie, and Wentworth, Missouri",SPP,,Severe Weather,200,20000
5/23/2011,4:45 PM,5/25/2011,11:59 PM,"Central, Indiana",RFC,,Severe Weather,1024,215387
5/23/2011,12:30 PM,5/25/2011,12:30 PM,"St. Louis County, Missouri",SERC,,Severe Weather,0,70000
5/24/2011,4:45 PM,5/26/2011,5:00 PM,Central Oklahoma,SPP,,Severe Weather,0,54000
5/24/2011,4:35 PM,5/25/2011,12:40 PM,Eastern Virginia,SERC,,Severe Weather,790,175000
5/24/2011,9:00 AM,5/25/2011,9:10 AM,"Chicago, Illinois",RFC,,Physical Attack,0,0
5/25/2011,10:14 PM,5/28/2011,11:00 AM,Central Indiana,RFC,,Severe Weather,200,141000
5/26/2011,7:56 PM,5/27/2011,6:00 PM,Central Pennsylvania,RFC,,Severe Weather,150,120001
5/26/2011,6:30 PM,5/28/2011,4:44 AM,"Southern Balancing Area, Georgia",SERC,,Severe Weather,729,218783
5/26/2011,1:00 AM,5/26/2011,6:00 AM,"Greenwood, Mississippi",SERC,,Transmission Level Interruption,30,10000
5/29/2011,6:30 PM,5/31/2011,10:00 PM,"Mid and Southern Lower Peninsula, Michigan",RFC,,Severe Weather,250,113000
6/2/2011,11:45 PM,6/4/2011,4:00 PM,"Greater Columbia, South Carolina",SERC,,Severe Weather,0,50465
6/4/2011,1:17 AM,6/4/2011,3:25 AM,"Midway, California",WECC,,Vandalism,0,420
6/5/2011,5:30 AM,6/6/2011,1:30 AM,"Houston Metro-Area, Texas",TRE,,Severe Thunderstorms,473,78000
6/5/2011,8:02 PM,6/5/2011,8:55 PM,"Melones, California",WECC,,Electrical System Separation (Islanding),10,5314
6/6/2011,12:13 AM,6/6/2011,3:15 AM,"El Paso County, Texas; Dona Ana County, New Mexico",SPP,,Load Shed/ Automatic undervoltage relay action,450,162000
6/6/2011,3:00 PM,6/8/2011,3:00 PM,"Eastern, Arkansas",SPP,,Public Appeal to Reduce Electricity Usage,0,13000
6/7/2011,2:00 PM,6/8/2011,6:00 AM,Ohio,RFC,,Severe Weather,0,52747
6/8/2011,12:58 PM,6/8/2011,12:58 PM,"Fredrickson Substation, Washington",WECC,,Vandalism,0,0
6/9/2011,4:30 AM,6/9/2011,12:00 PM,Illinois,RFC,,Severe Thunderstorms,0,169000
6/9/2011,2:15 PM,6/9/2011,2:15 PM,"San Antonio Dam Area, Los Angeles County, California",WECC,,Suspected Physical Attack,0,0
6/9/2011,5:51 PM,6/10/2011,12:00 PM,"Western, Massachusetts; Connecticut",NPCC,,Severe Thunderstorms,0,100000
6/12/2011,7:00 PM,6/12/2011,8:30 PM,Virginia,RFC,,Severe Thunderstorms,250,56000
6/15/2011,4:00 PM,6/16/2011,6:30 AM,"Bingham County, Idaho",WECC,,Vandalism,0,0
6/15/2011,7:15 PM,6/16/2011,6:00 AM,Georgia,SERC,,Severe Thunderstorms,563,169000
6/15/2011,7:17 PM,6/16/2011,1:45 AM,"Piedmont, North Carolina",SERC,,Severe Thunderstorms,300,70135
6/18/2011,3:30 PM,6/19/2011,3:42 PM,"Northern, Georgia",SERC,,Severe Thunderstorms,312,93828
6/18/2011,4:45 PM,6/20/2011,11:59 PM,"Eastern, Arkansas",SPP,,Public Appeal to Reduce Electricity Usage,0,0
6/18/2011,5:00 PM,6/18/2011,9:33 PM,North Carolina; South Carolina,SERC,,Severe Thunderstorms,300,70000
6/20/2011,10:36 AM,6/20/2011,10:36 AM,"Collins Substation, Washington",WECC,,Vandalism,0,0
6/21/2011,6:30 PM,6/22/2011,7:00 AM,AEP Region,RFC,,Severe Weather,0,56000
6/21/2011,9:45 PM,6/23/2011,2:00 AM,Illinois,RFC,,Severe Thunderstorms,0,300000
6/22/2011,9:46 AM,6/22/2011,9:46 AM,"Knoxville, Tennessee",SERC,,Severe Weather,0,106300
6/22/2011,7:00 PM,6/23/2011,1:00 AM,Alabama; Georgia,SERC,,Severe Thunderstorms,316,75101
6/22/2011,8:12 PM,6/22/2011,8:12 PM,"Knoble Substation, Spanaway, Washington",WECC,,Vandalism,0,0
6/23/2011,8:10 AM,6/23/2011,9:00 AM,"Highgate, Vermont",NPCC,,Vandalism,0,0
6/24/2011,6:30 PM,6/25/2011,1:30 AM,North/North Central Alabama; Georgia,SERC,,Severe Thunderstorms,340,102275
6/26/2011,4:46 PM,6/27/2011,7:59 AM,Southwest Kansas,SPP,,Public Appeal to Reduce Electricity Usage,0,0
6/26/2011,6:00 PM,6/27/2011,1:00 PM,Alabama; Georgia,SERC,,Severe Thunderstorms,300,90160
6/27/2011,12:00 AM,6/29/2011,1:00 AM,Illinois; Missouri,SERC,,Severe Thunderstorms,0,80000
6/27/2011,3:00 PM,6/27/2011,7:00 PM,Texas,TRE,,Public Appeal to Reduce Electricity Usage,0,0
6/27/2011,6:55 PM,6/27/2011,6:55 PM,"Olympic Pipeline Substation, Washington",WECC,,Vandalism,0,0
6/29/2011,11:30 AM,6/29/2011,6:04 PM,"Panhandle and Muleshoe, Texas",SPP,,Public Appeal to Reduce Electricity Usage,0,0
6/30/2011,2:11 PM,6/30/2011,11:25 PM,"Phoenix, Arizona",WECC,,Major System Interruption/Load Shed,5299,160000
6/30/2011,10:30 PM,7/1/2011,5:00 PM,Illinois,RFC,,Severe Weather,0,121000
6/30/2011,10:31 PM,6/30/2011,10:31 PM,"Olympic Pipeline Substation, Washington",WECC,,Vandalism,0,0
7/1/2011,8:00 AM,7/1/2011,8:01 AM,"CONVEX Local Control Center, Connecticut",NPCC,,Vandalism,0,0
7/1/2011,4:38 PM,7/1/2011,10:38 PM,Greene County Ohio,RFC,,Vandalism,0,0
7/1/2011,5:00 PM,7/3/2011,8:00 PM,Southwest and South Central Minnesota,MRO,,Severe Weather,0,70000
7/2/2011,8:15 PM,7/6/2011,10:00 PM,"South East, Lower Peninsula, Michigan",RFC,,Severe Weather,0,182000
7/4/2011,6:00 PM,7/4/2011,9:00 PM,Virginia,SERC,,Severe Weather,150,51580
7/5/2011,10:40 AM,7/5/2011,11:37 AM,West Valley Substation Utah,WECC,,Vandalism,0,0
7/6/2011,9:51 AM,7/6/2011,9:52 AM,Vermont,NPCC,,Vandalism,0,0
7/8/2011,10:00 AM,7/8/2011,10:00 AM,"Saginaw, Minnesota",MRO,,Vandalism,0,0
7/8/2011,10:00 AM,7/11/2011,9:00 AM,"PJM Corporate Office, Pennsylvania",RFC,,Suspected Cyber Attack,0,0
7/11/2011,9:00 AM,7/11/2011,9:00 AM,Illinois,RFC,,Severe Weather,0,500000
7/11/2011,9:00 AM,7/11/2011,10:25 AM,Michigan,RFC,,Severe Weather,254,103000
7/11/2011,11:15 AM,7/12/2011,8:15 AM,Western and Southern Lower Peninsula Michigan,RFC,,Severe Weather,0,85000
7/11/2011,1:13 PM,7/11/2011,1:13 PM,Southwest Ohio,RFC,,Vandalism,0,0
7/11/2011,1:30 PM,7/11/2011,1:30 PM,Maine,NPCC,,Vandalism,0,0
7/11/2011,2:27 PM,7/12/2011,3:50 PM,"Indiana, Michigan, Ohio",RFC,,Severe Weather,0,120000
7/12/2011,12:00 PM,7/12/2011,12:00 PM,Maine,NPCC,,Vandalism,0,0
7/12/2011,8:20 PM,7/12/2011,9:30 PM,California,WECC,,Suspected Physical Attack,0,0
7/13/2011,5:19 PM,7/13/2011,10:03 PM,"Pueblo, Colorado",WECC,,Load Shed,580,0
7/14/2011,11:00 AM,7/14/2011,7:00 PM,Texas,TRE,,Public Appeal to Reduce Electricity Usage,0,0
7/18/2011,5:00 PM,7/24/2011,1:30 PM,Southeast Michigan,RFC,,Severe Weather,0,197166
7/19/2011,11:45 AM,7/19/2011,3:00 PM,Maine,NPCC,,Vandalism,0,0
7/20/2011,9:10 AM,7/20/2011,4:30 PM,"Frederickson Substation, Washington",WECC,,Vandalism,0,0
7/21/2011,12:32 PM,7/22/2011,6:30 AM,"Lower Peninsula, Michigan",RFC,,Public Appeal to Reduce Electricity Usage,8881,0
7/21/2011,1:00 PM,7/21/2011,3:00 PM,"Springfield, Illinois",SERC,,Public Appeal to Reduce Electricity Usage,0,0
7/22/2011,11:00 AM,7/22/2011,6:00 PM,"Upstate, New York",NPCC,,Public Appeal to Reduce Electricity Usage,0,0
7/22/2011,11:34 AM,7/22/2011,5:26 PM,Ohio,RFC,,Load Shed,206,23000
7/23/2011,2:30 AM,7/24/2011,9:00 AM,Illinois,RFC,,Severe Weather,0,169000
7/24/2011,2:34 PM,7/24/2011,3:47 PM,"Southern, New Hampshire",NPCC,,Vandalism,0,0
7/26/2011,12:01 PM,7/26/2011,12:01 PM,"Backup Control Center, Oklahoma",SPP,,Vandalism,0,0
7/27/2011,12:07 PM,7/27/2011,12:08 PM,"Fife, Washington",WECC,,Vandalism,0,0
7/28/2011,7:26 AM,7/29/2011,7:26 AM,"Daviess County, Kentucky",SERC,,Fuel Supply Deficiency (Coal),0,0
7/28/2011,12:14 AM,7/29/2011,12:00 PM,"Entire ComEd Territory, Indiana",RFC,,Severe Weather,0,201000
7/28/2011,1:32 PM,7/28/2011,1:32 PM,Indiana  ,RFC,,Vandalism,0,0
7/28/2011,7:25 PM,7/28/2011,7:25 PM,"Spanaway, Washington",WECC,,Vandalism,0,0
7/29/2011,11:46 AM,7/29/2011,5:00 PM,"Fredrickson, Washington",WECC,,Vandalism,0,0
7/29/2011,8:45 PM,8/1/2011,4:24 AM,Central New Jersey,RFC,,Severe Weather,0,67900
8/1/2011,3:00 PM,8/5/2011,7:00 PM,Texas,TRE,,Public Appeal to Reduce Electricity Usage,0,0
8/1/2011,2:18 PM,8/1/2011,2:18 PM,"Jefferson, Oregon",WECC,,Vandalism,0,0
8/2/2011,9:30 PM,8/3/2011,7:00 PM,"Northeast, Illinois",RFC,,Severe Weather,0,71500
8/2/2011,10:15 AM,8/3/2011,9:16 AM,Oklahoma,SPP,,Public Appeal to Reduce Electricity Usage,0,0
8/3/2011,10:00 AM,8/19/2011,10:00 AM,Western New York,NPCC,,Fuel Supply Deficiency (Coal),675,0
8/3/2011,4:30 PM,8/3/2011,9:00 PM,Central Arkansas,SPP,,Public Appeal to Reduce Electricity Usage,0,0
8/3/2011,4:29 PM,8/3/2011,11:40 PM,Northeast Oklahoma,SPP,,Public Appeal to Reduce Electricity Usage,300,0
8/4/2011,10:30 AM,8/4/2011,4:00 PM,"Arkansas, Oklahoma, Texas",SPP,,Public Appeal to Reduce Electricity Usage,0,0
8/8/2011,9:30 AM,8/8/2011,9:30 AM,"Greene County, Ohio",RFC,,Suspected Physical Attack,0,0
8/8/2011,8:58 PM,8/10/2011,4:30 PM,Northern and Central Oklahoma,SPP,,Severe Weather,0,54000
8/8/2011,7:36 PM,8/9/2011,12:00 PM,Oklahoma,SPP,,Electrical System Separation (Islanding),92,14500
8/8/2011,9:35 AM,8/8/2011,4:00 PM,"Collins Substation, Washington",WECC,,Vandalism,0,0
8/9/2011,10:26 AM,8/9/2011,5:00 PM,"Polk Substation, Tacoma, Washington",WECC,,Vandalism,0,0
8/13/2011,4:41 PM,8/14/2011,7:00 PM,Kentucky,SERC,,Severe Weather,0,181700
8/15/2011,2:05 AM,8/15/2011,3:40 AM,Utah,WECC,,Vandalism,0,0
8/18/2011,9:51 AM,8/18/2011,4:00 PM,"Collins Substation, Washington",WECC,,Suspected Physical Attack,0,0
8/20/2011,5:42 PM,8/23/2011,8:00 PM,Southeastern Michigan,RFC,,Severe Weather,254,65000
8/21/2011,10:45 PM,8/23/2011,10:45 PM,Puerto Rico,N/A,,Severe Weather,2200,931000
8/22/2011,10:05 AM,8/22/2011,4:00 PM,"Collins Substation, Washington",WECC,,Suspected Physical Attack,0,0
8/23/2011,1:51 PM,8/23/2011,1:51 PM,Virginia,RFC,,Earthquake,0,0
8/23/2011,10:30 AM,8/23/2011,4:54 PM,"Southeastern New Mexico,  Texas Panhandle",SPP,,Public Appeal to Reduce Electricity Usage,0,0
8/23/2011,3:43 PM,8/23/2011,7:00 PM,Texas,TRE,,Public Appeal to Reduce Electricity Usage,0,0
8/24/2011,1:20 PM,8/29/2011,7:00 PM,Texas,TRE,,Public Appeal to Reduce Electricity Usage,0,0
8/24/2011,7:45 AM,8/25/2011,6:00 AM,"Houston area, Texas",TRE,,Severe Weather,485,79000
8/24/2011,2:51 PM,8/24/2011,10:00 PM,"Arkansas, Louisiana, Texas",SPP,,Severe Weather,0,53064
8/25/2011,12:01 AM,8/25/2011,12:01 AM,Maine,NPCC,,Suspected Physical Attack,0,0
8/25/2011,12:30 AM,8/28/2011,8:00 PM,"Cleveland area, Ohio",RFC,,Severe Weather,0,107833
8/26/2011,12:30 AM,8/28/2011,12:30 AM,Pennsylvania,RFC,,Severe Weather,0,200717
