Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Event Type,Demand Loss (MW),Number of Customers Affected
7/24/2006,2:33 p.m.,7/24/2006,5:33 p.m.,California,WECC,Widespread Heat Wave/CAISO Implementation of Stage 2 Electrical Emergency Plan,414,6
7/24/2006,2:33 p.m.,7/24/2006,5:33 p.m.,California,WECC,Widespread Heat Wave/CAISO  Implementation of Stage 2 Electrical Emergency Plan,695,0
7/27/2006,6:38 p.m.,7/29/2006,9:36 p.m.,"Chester, Montgomery, Delaware, Philadelphia and Bucks Counties, Pennsylvania",RFC,Severe Thunderstorms,0,167564
8/1/2006,12:00 p.m.,8/1/2006,7:00 p.m.,Northern Ohio,RFC,Made Public Appeals/Heat Wave,0,0
8/1/2006,1:00 p.m.,8/1/2006,8:30 p.m.,"Ohio, Indiana, Kentucky",RFC,Made Public Appeals,90,0
8/2/2006,12:00 p.m.,8/2/2006,4:45 p.m.,"Midwest ISO's Market Sub-regions:  AMRN, CIN, CILC, CWLD, CWLP, FE, HE, IP, IPL, LGEE, MECS, NIPS, SIGE, SIPC",MRO,Declared Energy Emergency Alert 2/Heat Wave,0,0
8/2/2006,1:00 p.m.,8/2/2006,4:35 p.m.,New England,NPCC,System Wide Voltage Reduction,0,0
8/2/2006,7:00 p.m.,8/3/2006,1:00 a.m.,New England,NPCC,Severe Thunderstorms,140,77000
8/3/2006,2:16 p.m.,8/3/2006,2:46 p.m.,Island of Puerto Rico,PR,Shed Firm Load,369,227480
8/7/2006,1:00 p.m.,8/7/2006,6:00 p.m.,"Tulsa, Oklahoma",RFC,Made Public Appeals,75,0
8/10/2006,8:00 p.m.,8/12/2006,12:00 p.m.,Southwest Idaho and Eastern Oregon,WECC,Severe Thunderstorm,100,65000
8/24/2006,9:58 p.m.,8/24/2006,11:25 p.m.,Island of Puerto Rico,PR,Shed Firm Load/Reduced Voltage,180,106000
9/1/2006,5:30 a.m.,9/1/2006,10:00 a.m.,Eastern North Carolina,SERC,Tropical Storm Ernesto,0,61000
9/1/2006,6:41 a.m.,9/1/2006,3:25 p.m.,Virginia and North Carolina,SERC,Tropical Storm Ernesto,500,333000
9/1/2006,10:00 a.m.,9/4/2006,2:00 p.m.,Southern Delmarva Peninsula,RFC,Tropical Storm Ernesto,380,105000
9/1/2006,3:00 p.m.,9/4/2006,11:00 p.m.,"Chester, Montgomery, Delaware, Philadelphia and Bucks Counties, Pennsylvania",RFC,Tropical Storm Ernesto,0,146094
9/1/2006,8:00 p.m.,9/1/2006,5:00 p.m.,Southern New Jersey Counties,RFC,Tropical Storm Ernesto,400,100000
9/14/2006,8:56 a.m.,9/14/2006,9:08 a.m.,Island of Puerto Rico,PR,Shed Firm Load/ Reduced Voltage,59,34716
9/28/2006,8:08 p.m.,9/28/2006,10:10 p.m.,"North, Central and Eastern Virginia and Northern North Carolina",SERC,Severe Thunderstorms,84,56500
10/2/2006,2:00 p.m.,10/2/2006,6:00 p.m.,"Chicago Metro, Northeast Illinois",RFC,Severe Thunderstorms,0,471932
10/2/2006,3:05 p.m.,10/2/2006,8:39 p.m.,"Newhall, San Frenando, Saugus, and Santa Clarita, California",WECC,Shed Firm Load,308,130000
10/3/2006,5:28 p.m.,10/3/2006,9:59 p.m.,"Grimes, Robertson, Fort Bend, Brazos, Burleson and Walker Counties",ERCOT,Shed Firm Load,339,0
10/12/2006,5:48 p.m.,10/12/2006,12:00 a.m.,Western New York State,NPCC,Snow Storm,600,250000
10/12/2006,8:00 p.m.,10/12/2006,11:00 p.m.,Western New York State,NPCC,Snow Storm,353,120000
10/15/2006,7:09 a.m.,10/15/2006,4:12 p.m.,Island of Maui,MECO,Earthquakes,110,59886
10/15/2006,7:09 a.m.,10/16/2006,2:55 p.m.,Island of Oahu,HECO,Earthquakes,1170,291000
10/20/2006,1:00 p.m.,10/22/2006,5:00 p.m.,"Chester, Montgomery, Delaware, Philadelphia and Bucks Counties, Pennsylvania",RFC,High Winds,0,90000
10/26/2006,5:30 a.m.,10/27/2006,5:10 p.m.,"Metro Denver and Boulder, Colorado",MR0,Wet Snow/Winds,0,65000
11/15/2006,10:00 a.m.,11/15/2006,8:00 p.m.,System-wide greater Houston area,ERCOT,High Winds,221,83000
11/15/2006,1:00 p.m.,11/19/2006,2:35 a.m.,"Whatcom and Skagit Counties, Washington",WECC,High Winds,50,50000
11/15/2006,3:00 p.m.,11/15/2006,5:00 p.m.,Georgia,SERC,Severe Weather,363,109000
11/26/2006,1:00 p.m.,11/22/2006,6:00 p.m.,"Snohomish County, Washington",WECC,Wind/Snow Storm,180,63992
11/30/2006,9:00 p.m.,11/39/2006,6:00 p.m.,Missouri and Illinois,MRO,Ice Storm,0,550000
12/1/2006,6:20 p.m.,12/2/2006,6:00 a.m.,Ohio,RFC,Wind Storm,0,59106
12/10/2006,7:35 p.m.,12/10/2006,10:14 p.m.,"San Francisco Bay area, California",WECC,Unit Tripped,220,0
12/13/2006,4:30 a.m.,12/18/2006,11:59 p.m.,Western Washington,WECC,Wind Storm,0,700000
12/14/2006,12:01 a.m.,12/14/2006,8:00 a.m.,"City of Seattle, Washington",WECC,Wind Storm,750,175000
12/14/2006,5:30 a.m.,12/10/2006,10:00 p.m.,"Snohomish County, Washington",WECC,Wind Storm,360,172060
12/14/2006,9:44 a.m.,12/14/2006,2:34 p.m.,"Oregon, Washington, Idaho, Montana",WECC,Wind Storm,258,24
12/14/2006,12:07 p.m.,12/17/2006,12:00 p.m.,State of Oregon Coastal area,WECC,HIgh Winds,0,111000
12/14/2006,5:00 p.m.,12/16/2006,4:00 p.m.,"Greater Tacoma area (City of Fircrest, University Place, City of Lakeland) and portions of South Pierce County in State of Washington",WECC,High Winds,280,75000
12/14/2006,7:00 p.m.,12/17/2006,8:00 p.m.,"Oregon Counties: Multnomah, Clackamas, Washington, Marion",WECC,High Winds,0,249500
12/16/2006,7:30 p.m.,12/16/2006,1:00 a.m.,"Oregon Counties:  Washington, Yamhill",WECC,Transmission Equipment/Fire,350,84500
12/26/2006,12:01 a.m.,12/21/2006,9:13 a.m.,Northern California,WECC,Severe Weather,420,850068
12/29/2006,4:25 p.m.,12/21/2006,6:59 p.m.,North Part of the Island,PR,Main Power Transformer Failure/Voltage Reduction/Fire,50,18386
12/30/2006,10:25 p.m.,12/36/2006,2:25 p.m.,"Gosper, Harlan, Franklin, Webster, Clay, Adams, Kearney, Phelps, Dawson, Buffalo, Hall, Hamilton, Sherman, Custer, Valley, Greeley, Howard, Merrick, York, Fillmore, Nance, Boone, Wheeler, Madison, Antelope, Pierce, Platte and Seward Counties in Central Nebraska",MRO,Severe Weather,500,15000
