Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Alert Criteria,Event Type,Demand Loss (MW),Number of Customers Affected
1/1/2021,7:04 AM,1/1/2021,7:05 AM,California: Alameda County;,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.,Vandalism,0,0
1/2/2021,10:28 AM,1/2/2021,10:29 AM,California: Butte County;,WECC,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system.,System Operations,8,5803
1/4/2021,10:34 AM,1/4/2021,10:49 AM,Pennsylvania:,RF,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,6,3825
1/8/2021,1:26 AM,1/8/2021,2:45 AM,Arkansas: Prairie County;,SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Sabotage,0,1908
1/10/2021,10:44 PM,1/13/2021,4:00 PM,"Texas: Anderson County, Angelina County, Dallas County, Freestone County, Henderson County, Houston County, Leon County, Nacogdoches County, Smith County, Tarrant County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,0,188000
1/11/2021,5:00 AM,1/11/2021,2:22 PM,Louisiana: Texas:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Distribution Interruption,0,58000
1/12/2021,11:50 PM,1/15/2021,1:00 PM,"Washington: Kitsap County, Thurston County, King County, Pierce County, Skagit County, Whatcom County;",WECC,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system.,Severe Weather,100,320000
1/12/2021,8:46 PM,1/13/2021,4:00 PM,"Oregon: Clackamas County, Multnomah County, Washington County;",WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,0,94231
1/12/2021,11:49 PM,1/14/2021,2:00 PM,Washington:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Distribution Interruption,150,70000
1/12/2021,8:30 PM,Unknown,Unknown,Washington: Snohomish County;,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Transmission Interruption,200,62000
1/13/2021,3:43 AM,1/13/2021,4:00 PM,Washington: Idaho:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,185,70417
1/13/2021,1:05 PM,1/13/2021,1:06 PM,Georgia: Houston County;,SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
1/15/2021,5:48 PM,1/15/2021,6:55 PM,Missouri:,SERC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0
1/18/2021,2:07 PM,1/18/2021,2:42 PM,Connecticut:,NPCC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0
1/19/2021,9:31 AM,1/21/2021,2:36 PM,"California: Kern County, Los Angeles County, Riverside County, San Bernardino County, Ventura County, Orange County;",WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,0,173746
1/19/2021,2:48 AM,1/20/2021,11:41 AM,California:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,411,124888
1/21/2021,12:00 AM,2/3/2021,4:55 PM,Texas: Louisiana: Arkansas: Pulaski County; Mississippi:,TRE,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
1/23/2021,7:00 AM,1/27/2021,1:45 PM,Georgia: Laurens County;,SERC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Cyber Event,29,0
1/23/2021,7:45 AM,1/23/2021,8:00 AM,"California: Placer County, Nevada County;",WECC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,45,0
1/26/2021,8:49 PM,1/28/2021,9:14 PM,California:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,841,255715
1/27/2021,12:30 PM,1/27/2021,4:18 PM,New Hampshire: Hillsborough County;,NPCC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
1/28/2021,10:15 AM,1/28/2021,4:46 PM,New Hampshire: Hillsborough County;,NPCC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
2/1/2021,11:25 PM,2/2/2021,1:12 AM,Texas: Kleberg County;,TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,13,6102
2/2/2021,12:34 PM,2/2/2021,3:43 PM,South Dakota: Hughes County;,MRO,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system.,Severe Weather/Transmission Interruption,5,4
2/2/2021,9:25 AM,2/3/2021,11:38 AM,South Dakota: Hughes County;,MRO,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system.,Severe Weather/Transmission Interruption,5,3
2/3/2021,2:22 PM,2/4/2021,10:32 PM,"North Dakota: Logan County, Emmons County, McIntosh County;",MRO,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,7,1400
2/5/2021,9:43 AM,2/5/2021,11:19 AM,Arkansas: Arkansas County;,SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
2/6/2021,6:50 AM,2/6/2021,2:43 PM,Ohio: Kentucky:,RF,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,0,0
2/7/2021,6:57 AM,2/7/2021,7:34 AM,Texas: Cameron County;,TRE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0
2/8/2021,7:04 AM,2/8/2021,2:10 PM,Minnesota: St. Louis County;,MRO,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,0,0
2/8/2021,6:19 PM,2/8/2021,6:29 PM,New Hampshire: Hillsborough County;,NPCC,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.,System Operations,0,0
2/9/2021,1:00 PM,2/10/2021,2:21 PM,Oregon: Tillamook County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
2/9/2021,10:51 AM,Unknown,Unknown,North Carolina:,SERC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,0,0
