Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Alert Criteria,Event Type,Demand Loss (MW),Number of Customers Affected
1/6/2014,7:50 PM,1/6/2014,8:44 PM,District of Columbia,RFC,,Voltage Reduction due to Severe Weather - Cold,0,0
1/6/2014,7:50 PM,1/6/2014,8:44 PM,Unknown,RFC,,Voltage Reduction due to Severe Weather - Cold,0,0
1/6/2014,7:52 PM,1/6/2014,8:45 PM,Delaware,RFC,,Voltage Reduction due to Severe Weather - Cold,0,0
1/6/2014,8:45 PM,1/7/2014,9:00 PM,Unknown,RFC,,Public Appeal due to Severe Weather - Cold,0,0
1/6/2014,7:50 PM,1/6/2014,8:49 PM,Pennsylvania,RFC,,Voltage Reduction due to Severe Weather - Cold,200,62000
1/6/2014,7:50 PM,1/6/2014,8:44 PM,Pennsylvania,RFC,,Voltage Reduction due to Severe Weather - Cold,0,0
1/6/2014,2:37 PM,1/6/2014,2:38 PM,Utah,RFC,,Vandalism,0,0
1/6/2014,10:00 PM,1/6/2014,10:01 PM,Kentucky,RFC,,Public Appeal due to Severe Weather - Cold,0,0
1/6/2014,7:01 AM,1/7/2014,9:00 AM,Texas,TRE,,Public Appeal due to Severe Weather - Cold,0,0
1/7/2014,9:00 PM,1/8/2014,9:00 AM,Unknown,RFC,,Public Appeal due to Severe Weather - Cold,0,0
1/7/2014,6:18 AM,1/7/2014,6:19 AM,Pennsylvania,RFC,,Severe Weather - Cold,0,0
1/7/2014,7:58 AM,1/7/2014,11:00 AM,North Carolina,SERC,,Voltage Reduction; Public Appeal due to Severe Weather - Cold,14435,0
1/7/2014,4:15 PM,1/8/2014,1:20 PM,North Carolina,SERC,,Public Appeal due to Severe Weather - Cold,0,0
1/7/2014,6:00 AM,1/7/2014,8:30 AM,Northeast Tennessee,SERC,,Public Appeal due to Severe Weather - Cold,0,0
1/7/2014,6:00 AM,1/7/2014,8:30 AM,Tennessee,SERC,,Public Appeal due to Severe Weather - Cold,0,0
1/7/2014,6:00 PM,1/7/2014,11:00 PM,South Carolina,SERC,,Voltage Reduction; Public Appeal; Load Shed 100+MW due to Severe Weather - Cold,4853,677858
1/7/2014,10:59 AM,1/9/2014,9:00 AM,Illinois,RFC,,Fuel Supply Emergency - Natural Gas,0,0
1/7/2014,9:30 AM,1/8/2014,9:30 AM,"Piedmont North Carolina, Piedmont South Carolina",SERC,,Fuel Supply Emergency due to Severe Weather - Cold,0,0
1/8/2014,5:00 AM,1/8/2014,6:30 AM,Unknown,RFC,,Voltage Reduction due to Severe Weather - Cold,576,0
1/8/2014,6:00 AM,1/8/2014,9:00 AM,South Carolina,SERC,,Voltage Reduction; Public Appeal; Load Shed 100+MW due to Severe Weather - Cold,4545,677858
1/13/2014,4:44 PM,1/13/2014,4:45 PM,Arizona,WECC,,Physical Attack - Vandalism,0,0
1/15/2014,2:32 PM,1/15/2014,2:45 PM,Utah,WECC,,Physical Attack - Vandalism,0,0
1/16/2014,12:30 PM,1/16/2014,1:57 PM,Arizona,WECC,,Physical Attack - Vandalism,0,0
1/17/2014,12:20 PM,1/17/2014,12:20 PM,Ohio,RFC,,Suspected Physical Attack,0,0
