Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Alert Criteria,Event Type,Demand Loss (MW),Number of Customers Affected
1/7/2013,10:43 AM,1/7/2013,10:43 AM,"Denton, Maryland",RFC,,Physcial Attack; Vandalism,0,0
1/16/2013,2:25 PM,1/16/2013,2:25 PM,"Denton, Maryland",RFC,,Physcial Attack; Vandalism,0,0
1/16/2013,4:45 PM,1/16/2013,7:26 PM,"San Juan County, New Mexico",WECC,,Suspected Physical Attack,0,0
1/16/2013,7:41 AM,1/17/2013,10:58 AM,"Webster County, Iowa",MRO,,Physical Attack,0,0
1/17/2013,6:07 PM,1/20/2013,7:30 PM,"Southwest Virginia, Southern West Virginia",RFC,,Severe Weather - Winter Storm,0,127000
1/17/2013,7:02 PM,1/19/2013,6:00 PM,Northeast Tennessee,SERC,,Severe Weather - Winter Storm,0,80000
1/17/2013,8:35 PM,1/17/2013,9:20 PM,"Elizabeth City, North Carolina",SERC,,Distribution Interruption,40,12000
1/20/2013,3:30 AM,1/23/2013,6:15 AM,Southeastern Michigan,RFC,,Severe Weather - Wind Storm,0,146500
1/28/2013,4:46 PM,1/28/2013,6:00 PM,"Tacoma Narrows Crossing, Washington",WECC,,Physical Attack,0,0
1/31/2013,3:05 AM,1/31/2013,4:48 AM,Central and Eastern Virginia,SERC,,Severe Weather - Wind Storm,188,119000
1/31/2013,6:30 AM,1/31/2013,10:00 AM,Connecticut,NPCC,,Severe Weather - Wind Storm,75,75000
2/2/2013,9:15 PM,2/2/2013,10:15 PM,"El Paso, New Mexico",WECC,,Vandalism,0,0
2/7/2013,8:32 AM,2/7/2013,9:47 AM,"Cincinnati, Ohio",RFC,,Vandalism,0,0
2/8/2013,11:38 AM,2/8/2013,2:17 PM,District of Columbia; Prince George's County Maryland,RFC,,Equipment Trip & Failure,140,52000
2/8/2013,8:00 PM,2/11/2013,8:30 PM,Central and eastern Massachusetts; Rhode Island,NPCC,,Severe Weather - Winter Storm Nemo,0,50000
2/8/2013,8:55 PM,2/12/2013,4:00 AM,Boston area and Southeast Massachusetts,NPCC,,Severe Weather - Winter Storm Nemo,0,50000
2/9/2013,8:30 AM,2/9/2013,3:00 PM,"El Paso, New Mexico",WECC,,Vandalism; Equipment Fault,0,0
2/10/2013,7:46 PM,2/10/2013,8:15 PM,Puerto Rico,N/A,,Generator Trip; Voltage Reduction,350,0
2/13/2013,9:30 AM,2/13/2013,9:30 AM,"Fort Washington, Maryland",RFC,,Vandalism,1,1
2/13/2013,5:39 PM,2/15/2013,5:50 PM,Eastern Massachusetts,NPCC,,Fuel Supply Emergency - Petroleum,1,1
2/15/2013,12:00 AM,2/15/2013,12:01 AM,"Tuxedo, Maryland",RFC,,Vandalism,0,0
2/16/2013,7:54 AM,2/16/2013,7:54 AM,Prince George's County Maryland,RFC,,Vandalism,1,1
2/19/2013,4:01 PM,2/20/2013,12:55 PM,"Stockton, California",WECC,,Electrical System Separation (Islanding),13850,6810
2/21/2013,11:00 AM,2/21/2013,11:30 AM,"Las Cruces, New Mexico",WECC,,Vandalism,0,0
2/26/2013,1:00 PM,3/1/2013,10:00 AM,Northern Missouri,SERC,,Severe Weather - Winter Storm Nemo,0,56444
3/3/2013,6:39 AM,3/3/2013,10:29 AM,"Merced County, California",WECC,,Transmission System Interruption,300,58850
3/3/2013,4:27 PM,3/3/2013,6:20 PM,"Tacoma Park, Maryland",RFC,,Vandalism,0,0
3/4/2013,9:49 AM,3/4/2013,10:00 PM,Metropolitan area Puerto Rico,N/A,,Equipment Failure; Transmission System Interruption,0,0
3/6/2013,8:22 AM,3/7/2013,10:27 AM,Northwest Virginia,SERC,,Severe Weather - Winter Storm,400,233000
3/18/2013,5:21 AM,3/18/2013,5:41 AM,Systemwide Puerto Rico,N/A,,Generator Trip; Load Shed,350,262937
3/18/2013,5:50 PM,3/18/2013,6:07 PM,Northeast Florida,FRCC,,Suspected Physical Attack,0,0
3/18/2013,7:30 PM,3/20/2013,2:30 PM,North/Central Alabama; Georgia,SERC,,Severe Weather - Thunderstorms,800,240000
3/23/2013,7:00 AM,3/23/2013,9:00 AM,Connecticut,NPCC,,Vandalism,0,0
3/27/2013,10:25 AM,3/27/2013,12:19 PM,Western Massachusetts,NPCC,,Physical Attack; Vandalism,0,0
3/28/2013,1:01 PM,3/28/2013,1:02 PM,"Wilmington, Delaware",RFC,,Vandalism,0,0
3/29/2013,10:16 AM,3/29/2013,10:17 AM,Maryland,RFC,,Suspected Physical Attack,0,0
4/1/2013,8:40 AM,4/1/2013,8:41 AM,Connecticut,NPCC,,Vandalism - Copper Wire Theft,0,0
4/3/2013,11:05 AM,4/3/2013,2:00 PM,"Colorado Springs, Colorado",WECC,,Sabotage; Vandalism,0,0
4/9/2013,11:30 AM,4/9/2013,11:31 AM,"Delaware City, Delaware",RFC,,Vandalism,0,0
4/16/2013,1:47 AM,4/18/2013,3:25 PM,California,WECC,,"Loss of Part of a High Voltage Substation, Physical Attack",0,0
4/17/2013,3:36 PM,4/17/2013,4:53 PM,"Colbert Steam Plant in Cherokee, Alabama",SERC,,Suspected Physical Attack,0,0
4/18/2013,3:00 PM,4/21/2013,3:30 AM,"Southeast Michigan, Michigan",RFC,,Severe Weather - Storms and Wind,0,99188
4/21/2013,2:11 AM,4/21/2013,12:30 PM,East Tennessee,SERC,,Suspected Physical Attack,0,0
4/23/2013,11:00 AM,4/23/2013,11:01 AM,"Newark, Delaware",RFC,,Vandalism,0,0
4/23/2013,12:49 AM,4/23/2013,4:04 AM,"South of Humboldt, California",WECC,,Electrical System Separation (Islanding),80,1
4/25/2013,4:00 PM,4/26/2013,10:55 AM,"Sunol, California",WECC,,Vandalism,0,0
5/1/2013,9:22 AM,5/1/2013,9:24 AM,Northeast Colorado ,WECC,,Electrical System Separation (Islanding),123,35230
