Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Alert Criteria,Event Type,Demand Loss (MW),Number of Customers Affected
2/26/2015,3:30 AM,2/27/2015,12:00 PM,North Carolina ,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather - Winter,400,103776
3/4/2015,9:05 AM,3/4/2015,2:15 PM,"Johnson City , Tennessee",SERC,Suspected Physical Attack,Vandalism,0,0
3/9/2015,11:50 PM,3/10/2015,10:53 AM,Washington,WECC,Suspected Physical Attack,Vandalism,0,0
3/15/2015,3:30 PM,3/15/2015,7:00 PM,"Greater Portland & Salem , Oregon",WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather - Wind,210,71000
3/16/2015,7:31 AM,3/16/2015,10:06 AM,"Winona , Minnesota",MRO,Suspected Physical Attack,Sabotage,20,5941
3/19/2015,6:30 PM,3/19/2015,9:37 PM,Southwest Kansas,SPP,Suspected Physical Attack,Vandalism,0,0
3/22/2015,4:25 PM,3/22/2015,4:26 PM,West Virginia,RFC,Suspected Physical Attack,Vandalism,24,0
3/26/2015,3:21 PM,3/26/2015,4:59 PM,"Contra Costa County, California",WECC,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational,System Operations,15,0
3/29/2015,4:26 AM,3/29/2015,9:21 AM,California,WECC,Suspected Physical Attack,Vandalism,0,0
4/1/2015,6:25 PM,4/1/2015,6:26 PM,"San Juan County, Utah",WECC,Suspected Physical Attack,Vandalism,0,37
4/2/2015,7:04 AM,4/2/2015,8:57 AM,"San Juan County, Utah",WECC,Suspected Physical Attack,Vandalism,6,5763
4/3/2015,2:00 AM,4/3/2015,7:48 AM,"Harvey, Reno, and Sedgwick Counties, Kansas",SPP,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather - Thunderstorms,0,70000
4/6/2015,8:12 AM,4/6/2015,12:08 PM,"Butte County, California",WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more",System Operations,0,80000
4/7/2015,12:30 PM,4/7/2015,5:34 PM,Unknown ,RFC,Uncontrolled loss of 300 Megawatts or more of firm system loads for more than 15 minutes from a single incident,System Operations,0,0
4/7/2015,3:34 PM,4/7/2015,3:46 PM,California,WECC,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational,System Operations,0,0
4/17/2015,9:30 PM,4/19/2015,11:50 PM,"Houston, Texas",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,0,280982
4/17/2015,9:16 AM,4/17/2015,11:00 AM,Canada ,WECC,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational,System Operations,9300,0
4/18/2015,9:00 PM,4/21/2015,4:00 AM,"Dallas, Fort Worth, Texas",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,0,89000
4/24/2015,7:10 PM,4/26/2015,4:00 PM,"Dallas, Fort Worth, Texas",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,0,57000
4/27/2015,10:30 AM,4/28/2015,6:45 PM,Louisiana and Texas,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,0,199000
5/2/2015,10:51 PM,5/3/2015,12:26 AM,"Franklin County, Tennessee",SERC,Suspected Physical Attack,Vandalism,1,215
5/4/2015,3:25 PM,5/4/2015,3:26 PM,"Salt Lake County, Utah",WECC,Suspected Physical Attack,Vandalism,0,0
5/11/2015,8:32 AM,5/11/2015,8:33 AM,"Shasta County, California",WECC,Suspected Physical Attack,Sabotage,0,0
5/12/2015,12:40 AM,5/12/2015,12:45 AM,"Coahoma County, Mississippi",SERC,Suspected Physical Attack,Sabotage,0,0
5/18/2015,3:28 PM,5/18/2015,3:47 PM,Washington,WECC,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational,Severe Weather,275,0
5/25/2015,6:00 PM,5/29/2015,7:15 AM,North Texas,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,0,454000
5/25/2015,10:45 PM,5/28/2015,1:25 AM,"Fort Bend County, & Harris County ,Texas",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,0,61000
5/25/2015,8:30 PM,5/26/2015,6:30 PM,Texas,SPP,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,0,57531
5/25/2015,8:30 PM,Unknown,Unknown,"Texas, Louisiana, Arkansas",SPP,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,0,57351
5/26/2015,5:30 AM,5/27/2015,7:00 PM,"Texas, Louisiana, Arkansas, Mississippi",SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,0,78515
6/1/2015,12:27 AM,6/1/2015,2:15 AM,"Daviess County, Kentucky",SERC,Suspected Physical Attack,Vandalism,2,110
6/1/2015,7:19 PM,6/2/2015,8:36 AM,California,WECC,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational,System Operations,5,484
6/2/2015,6:58 PM,6/2/2015,7:24 PM,California,WECC,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational,System Operations,5,727
6/3/2015,3:00 PM,6/5/2015,5:00 PM,Texas,TRE,Public appeal to reduce the use of electricity,System Operations,0,0
6/7/2015,1:54 PM,6/7/2015,2:13 PM,"Shelby County, Tennessee",SERC,Uncontrolled loss of 300 Megawatts or more of firm system loads for more than 15 minutes from a single incident System-wide voltage reductions of 3 percent or more,System Operations,926,0
6/7/2015,1:52 PM,6/7/2015,2:13 PM,Tennessee,SERC,Uncontrolled loss of 300 Megawatts or more of firm system loads for more than 15 minutes from a single incident,System Operations,0,0
6/8/2015,12:00 AM,Unknown,Unknown,"Merced County, California",WECC,Fuel supply emergencies that could impact electric power system adequacy or reliability,System Operations,176,0
