Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Alert Criteria,Event Type,Demand Loss (MW),Number of Customers Affected
1/5/2009,5:00 AM,1/6/2009,6:00 PM,North and Central Texas,TRE,,Severe Storm,0,157019
1/7/2009,5:00 PM,1/7/2009,8:05 PM,Piedmont of North and South Carolina,SERC,,High Winds,300,70000
1/8/2009,11:46 PM,1/9/2009,11:25 AM,Florida Keys,FRCC,,Transmission Equipment Failure,55,31000
1/17/2009,8:00 AM,1/25/2009,8:00 AM,"PJM, Indiana",RFC,,Fuel Supply Deficiency,0,0
1/22/2009,4:00 PM,1/22/2009,5:05 PM,"Crawfordsville, Indiana",RFC,,Shed Load,50,9700
1/27/2009,5:00 AM,1/29/2009,4:30 PM,State of Kentucky,RFC,,Ice Storm,0,383000
1/27/2009,5:03 AM,1/31/2009,5:15 PM,Central and Eastern Kentrucky,SERC,,Ice Storm,600,190000
1/27/2009,7:10 AM,2/4/2009,7:30 PM,Western Kentucky and Southern Indiana,SERC,,Ice Storm,350,3
1/27/2009,11:00 AM,1/30/2009,6:00 PM,South Central and Southeast Missouri,SERC,,Winter Storm,200,62500
1/27/2009,1:46 PM,2/3/2009,5:00 PM,Northern Arkansas,SERC,,Ice Storm,0,111818
1/27/2009,3:43 PM,1/29/2009,9:00 AM,CSWS-AEP West,RFC,,Ice/Snow Storm,0,59402
1/27/2009,9:00 PM,1/29/2009,6:00 AM,Northern Arkansas,SERC,,Ice Storm,600,215700
1/27/2009,9:45 PM,1/27/2009,10:17 PM,TVA Service Territory,SERC,,Ice Storm,850,1
1/28/2009,12:10 AM,1/30/2009,9:20 PM,East Central Missouri,RFC,,Winter Storm,300,1
1/28/2009,3:00 AM,2/13/2009,8:03 AM,"Illinois, Indiana, Ohio and Kentucky",RFC,,Winter Storm,0,230300
1/28/2009,4:00 AM,2/7/2009,5:00 PM,"City of Henderson, Kentucky and Portions of Henderson County, Kentucky",RFC,,Ice Storm,21,3500
1/28/2009,6:00 AM,2/5/2009,6:00 PM,"Indiana, Evansville, Metro Area",RFC,,Ice Storm,506,75000
1/28/2009,7:50 AM,2/13/2009,8:03 AM,Southern Indiana,RFC,,Ice/Snow Storm,0,53700
1/28/2009,9:00 AM,2/5/2009,8:00 AM,Northeast Tennessee and Southwest Kentucky,SERC,,Ice Storm,0,109527
1/28/2009,10:00 AM,1/30/2009,9:20 PM,Northern Kentucky and Southwest Ohio,RFC,,Ice/Snow Storm,0,53600
2/11/2009,2:30 AM,2/11/2009,12:00 PM,"Houston, Texas",TRE,,High Winds,350,64801
2/11/2009,6:00 PM,2/13/2009,5:00 PM,"Kentucky, West Virginia and Ohio",RFC,,Severe Thunderstorms,0,279813
2/11/2009,6:18 PM,2/16/2009,8:10 PM,"Maryland, Virginia, West Virginia and Pennsylvania",RFC,,Severe Thunderstorms,0,374644
2/11/2009,7:00 PM,2/12/2009,11:00 AM,State of Kentucky,RFC,,Severe Thunderstorms,0,78000
2/11/2009,9:00 PM,2/12/2009,12:00 PM,Northern Kentucky and Southwest Ohio,RFC,,Severe Thunderstorms,350,63000
2/12/2009,2:30 AM,2/12/2009,6:00 AM,Central and Eastern Ohio,RFC,,High Winds,168,184000
2/12/2009,8:00 AM,2/15/2009,10:00 PM,Western and North Eastern Pennsylvania,RFC,,High Winds,130,132000
